time,elastic,external,fracture,mobility,plastic,plastic_strain,stress,total_strain
13.6,770556737.54391,3606285035.3333,0,12.9375,2847758688.477,0.0088157005814924,325.54105727531,0.01369248
13.7,770875305.34304,3638455798.8803,0,12.9375,2879746307.6894,0.0089137923405962,325.60832767564,0.013793845
13.8,771193907.63961,3670630045.8372,0,12.9375,2911737418.0252,0.0090118745080195,325.67559145341,0.01389522
13.9,771512544.41828,3702807774.866,0,12.9375,2943732018.1576,0.0091099470856463,325.74284860994,0.013996605
14,771831215.66904,3734988984.6291,0,12.9375,2975730106.7598,0.0092080100753604,325.81009914649,0.014098
14.1,772149921.37602,3767173673.7897,0,12.9375,3007731682.5059,0.0093060634790442,325.87734306438,0.014199405
14.2,772468661.53397,3799361841.0114,0,12.9375,3039736744.0681,0.0094041072985734,325.94458036623,0.01430082
14.3,772787436.11189,3831553484.9582,0,12.9375,3071745290.1277,0.0095021415358491,326.01181104938,0.014402245
14.4,773106245.11851,3863748604.2947,0,12.9375,3103757319.354,0.0096001661927334,326.07903511915,0.01450368
14.5,773425088.53069,3895947197.6861,0,12.9375,3135772830.4249,0.009698181271113,326.1462525755,0.014605125
14.6,773743966.33213,3928149263.7981,0,12.9375,3167791822.0172,0.0097961867728682,326.21346341964,0.01470658
14.7,774062878.50798,3960354801.2969,0,12.9375,3199814292.8072,0.0098941826998765,326.28066765339,0.014808045
14.8,774381825.05853,3992563808.8491,0,12.9375,3231840241.4741,0.0099921690540221,326.34786527685,0.01490952
14.9,774700805.95536,4024776285.122,0,12.9375,3263869666.6944,0.010090145837178,326.41505629242,0.015011005
15,775019821.19227,4056992228.7834,0,12.9375,3295902567.1472,0.010188113051225,326.48224070106,0.0151125
15.1,775338870.75243,4089211638.5015,0,12.9375,3327938941.5107,0.010286070698035,326.54941850462,0.015214005
15.2,775657954.6259,4121434512.9451,0,12.9375,3359978788.4671,0.010384018779496,326.61658970279,0.01531552
15.3,775977072.79729,4153660850.7835,0,12.9375,3392022106.694,0.010481957297474,326.68375429847,0.015417045
15.4,776296225.2667,4185890650.6867,0,12.9375,3424068894.8722,0.010579886253845,326.75091229275,0.01551858
15.5,776615411.99832,4218123911.3248,0,12.9375,3456119151.6848,0.010677805650492,326.81806368586,0.015620125
15.6,776934632.99173,4250360631.3689,0,12.9375,3488172875.8115,0.010775715489282,326.88520848021,0.01572168
15.7,777253888.23085,4282600809.4903,0,12.9375,3520230065.9351,0.010873615772091,326.95234667676,0.015823245
15.8,777573177.70411,4314844444.3608,0,12.9375,3552290720.7384,0.010971506500793,327.01947827674,0.01592482
15.9,777892501.40357,4347091534.6531,0,12.9375,3584354838.9045,0.011069387677261,327.08660328146,0.016026405
16,778211859.30727,4379342079.0399,0,12.9375,3616422419.1163,0.011167259303364,327.15372169274,0.016128
16.1,778531251.39871,4411596076.1948,0,12.9375,3648493460.0605,0.011265121380981,327.22083351041,0.016229605
16.2,778850677.68008,4443853524.7918,0,12.9375,3680567960.4194,0.011362973911977,327.2879387372,0.01633122
16.3,779170138.12484,4476114423.5053,0,12.9375,3712645918.8789,0.011460816898224,327.35503737396,0.016432845
16.4,779489632.72736,4508378771.0105,0,12.9375,3744727334.125,0.011558650341593,327.42212942198,0.01653448
16.5,779809161.46659,4540646565.9828,0,12.9375,3776812204.844,0.011656474243952,327.48921488247,0.016636125
16.6,780205538.31635,4572917791.0027,78570.324724048,12.9375,3808744472.1802,0.011753812947839,327.55591423557,0.01673778
16.7,780920758.88349,4605192361.8793,483002.18453125,12.9375,3840032498.7051,0.011849168553391,327.621032262,0.016839445
16.8,793052083.09132,4637386335.9343,20537683.562267,12.9375,3840032498.7051,0.011849168553391,325.9727009272,0.01694112
16.9,805437066.44573,4669424123.8032,40190395.635538,12.9375,3840032498.7051,0.011849168553391,324.49238621702,0.017042805
17,817703104.1107,4701314563.1817,59814705.851182,12.9375,3840032498.7051,0.011849168553391,323.02308042721,0.0171445
